,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
熱門,109,73,21.487308902630907,1406.0,1129.0,36.16222472385428,-10.804521669965544,49.46251671141459,39.71776768647729,71.66460892032543,27.889457346023917
盤點,41,38,20.873146003264846,337.0,289.0,39.19335104543994,-10.09473407535032,11.855524987017578,10.166904217353354,71.6459561860394,76.19637249298758
前三季,52,30,23.096047587542984,485.0,321.0,40.531109874291026,-10.436137288432134,17.062105693482273,11.292651397129504,71.54195856609275,30.99049810731595
國聯邦準備理,34,34,20.547563072547987,252.0,250.0,38.469578109146575,-10.06099394021036,8.86525904073718,8.794899842001172,71.26189998354647,72.23471391235292
反轉,41,37,20.99884870777929,338.0,287.0,39.25776093603333,-10.11445785007967,11.890704586385583,10.096545018617345,71.26163746825054,71.6874820644738
點至,52,48,20.768945070529558,486.0,429.0,38.4586163420908,-10.2561494549844,17.097285292850277,15.092048128874008,71.25104793321259,71.75522414883393
刷新,38,35,20.91804331625454,301.0,263.0,39.17642182395429,-10.082699517652625,10.58905940976941,9.252234633785232,70.95622330232186,71.65268149738077
今年來,61,52,21.029456268107094,618.0,515.0,38.387634497468035,-10.358816729046582,21.740992409426894,18.11749367452241,70.89233315441398,63.365510457466286
聯邦準備,48,48,20.433190522085628,432.0,382.0,38.64846788516621,-10.140113144662958,15.197586926978024,13.438606958577791,70.80060200235489,88.88494861450135
應用的,34,32,20.821971967557683,253.0,233.0,38.95300907837077,-10.051196097730248,8.900438640105184,8.196846652745092,70.78167784005753,69.12293632859212
者中央社簡長,35,35,20.547104633517726,265.0,265.0,38.3825423816356,-10.090275311461083,9.32259383252124,9.32259383252124,70.72379204054248,70.72379204054248
譯者中央社簡,35,35,20.547104633517726,265.0,265.0,38.3825423816356,-10.090275311461083,9.32259383252124,9.32259383252124,70.72379204054248,70.72379204054248
但受,38,36,20.787398447126442,302.0,292.0,38.493885947153146,-10.159128410776445,10.624239009137415,10.272443015457368,70.53985600138341,64.4352261090073
利成長,43,39,20.96038315557529,366.0,324.0,38.878660906540176,-10.183075416626956,12.875733368689716,11.398190195233518,70.47920410351135,66.8404274230392
望維持,33,30,20.974841579224666,242.0,227.0,38.85726750505122,-10.089646182783522,8.513463047057135,7.985769056537063,70.42850701690635,60.68624832512671
聯貸案,34,11,25.655403641777077,254.0,103.0,44.31301625490654,-10.302727262395539,8.93561823947319,3.6234987349044823,70.30551397800839,15.016638584638594
人關,45,41,20.92014040258721,393.0,357.0,38.60315135351803,-10.230057262039605,13.82558255162584,12.559116974377673,70.29319015068985,64.40610664964476
中央社簡長盛,35,35,20.547104633517726,266.0,266.0,38.37971735509434,-10.09404179425656,9.357773431889246,9.357773431889246,70.26498217296303,70.26498217296303
額新台幣億元,54,54,20.339636456781925,518.0,516.0,37.46117096717157,-10.323016265881561,18.22303247262643,18.152673273890418,70.2403075546,70.79017035230576
指出,1663,1131,8.711255311874805,38515.0,27716.0,13.678887872392615,-11.264801213595424,1354.9422696587005,975.0377760836178,70.03956356527075,24.946946554876583
台灣公,34,24,22.12412474394319,255.0,200.0,39.998944215928475,-10.186157083164364,8.970797838841195,7.035919873600937,69.83336065291155,40.901548014304446
訊及,32,19,22.87106353797244,232.0,202.0,39.3567822460569,-10.429722265199038,8.161667053377087,7.106279072336946,69.62623125368899,19.906423047161567
預期的,55,49,20.90097549657598,535.0,496.0,37.91589772894945,-10.380649175578574,18.821085661882506,17.449081286530323,69.54507652742517,57.04944892613967
後股,39,35,21.035206929183786,317.0,281.0,39.03149389795236,-10.148900154808606,11.151932999657486,9.885467422409317,69.54084423564815,63.80474687125497
上年,58,39,22.277749697684122,579.0,451.0,39.02752876057885,-10.513799240337306,20.36898803407471,15.865999314970113,69.52201352421976,33.731375948693056
研院,247,99,22.592613821218308,4156.0,1228.0,40.129302623023946,-10.58391580553677,146.20641497342746,43.200548023909754,69.48632715161874,72.07266998346321
大於,61,50,21.229908385896433,624.0,544.0,38.03020730162904,-10.45281978839207,21.952070005634923,19.13770205619455,69.4577247819202,49.76989565285432
安聯,33,24,21.978208245001493,244.0,129.0,42.57834778999968,-9.747652120978,8.583822245793142,4.5381683184726045,69.45038224867642,83.46162280018349
銀行股,33,24,21.978208245001493,244.0,182.0,40.342059633015396,-10.091846403693124,8.583822245793142,6.402687084976852,69.45038224867642,48.364915811024694
群聯,56,36,22.525508817374806,550.0,136.0,47.518325441144626,-9.395029494244216,19.348779652402577,4.784425514048637,69.42618486026005,203.66334215608236
創下年,36,31,21.23043044190805,280.0,264.0,38.72881528527567,-10.207855445625443,9.850287823041311,9.287414233153237,69.42004733488623,50.760778925935334
年月以來,67,56,21.029778377455994,717.0,623.0,37.71354494925178,-10.475088375016577,25.22377274685936,21.91689040626692,69.1908058727398,53.002882162802415
體與,50,41,21.37870323805604,465.0,436.0,38.10662791177553,-10.429963723609001,16.35851370612218,15.338305324450042,69.18413374178434,42.93320283378572
金與,50,45,20.921440938370747,465.0,414.0,38.47641596543571,-10.285097031019268,16.35851370612218,14.564354138353938,69.18413374178434,63.60244540992922
公司的,159,113,20.261071443324468,2364.0,1938.0,33.70260561225725,-10.907917520702645,83.16457290596308,68.17806357519308,69.15218585969109,29.46704378973327
發基,39,11,26.433059361729132,318.0,168.0,42.52801862315473,-10.791962253569162,11.18711259902549,5.910172693824787,69.14712788773319,4.383347720745102
缺口,59,44,21.740511942208773,596.0,458.0,39.067127459401725,-10.408573097160197,20.967041223330792,16.112256510546146,68.98951253542818,48.26923134103044
盤股價,36,36,20.545048907351962,281.0,242.0,39.32723778918737,-9.97131233466485,9.885467422409317,8.513463047057135,68.98700714951458,88.74293686241488
增每股,36,31,21.23043044190805,281.0,241.0,39.354725839516654,-10.116703275969781,9.885467422409317,8.47828344768913,68.98700714951458,59.82669954268693
