,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
有任,154,142,25.68972603906148,1457.0,1300.0,35.15010531417066,-11.425532453067387,161.1269073110367,143.76457069618925,-0.3152347963959776,-0.021658394184126753
有這,163,150,25.597435570351657,1541.0,1369.0,34.95661414821162,-11.422440498411213,170.41631034063664,151.39515175621776,-0.32274879651304456,-0.012856742110287239
表示目前,215,200,24.927813520954754,2021.0,1913.0,33.211854105998114,-11.469350570111235,223.4986133669219,211.55509518600772,-0.32316276182818143,-0.6311368896140386
會一,109,104,25.99152677206385,1041.0,988.0,35.90480393519929,-11.462531765825513,115.12224468825616,109.26107372910383,-0.32558329734083413,-0.25332806861931506
為萬,212,145,26.91700414856699,1994.0,1438.0,35.61398879918434,-11.505514763079436,220.51273382169336,159.02573281624626,-0.3286279021763821,-1.2370399277457693
都會,415,370,23.177413852448826,3860.0,3331.0,30.572742661727126,-11.408764799774428,426.87018683637734,368.36906537615874,-0.3300800568312224,0.007220877096528241
建置,136,93,27.663186457587376,1292.0,935.0,37.33075606576145,-11.51918700335445,142.87986564575115,103.3999027699515,-0.33127516665602674,-1.0460162410895033
最高,978,743,20.506614248233962,9008.0,6615.0,26.437834839437972,-11.397638999050315,996.1778867932867,731.5404885809937,-0.3317033761241421,0.17951214459375187
不夠,155,133,26.11298022386235,1468.0,1225.0,35.674737673660495,-11.431586961976093,162.3433767553891,135.47046084833218,-0.33216742961334816,-0.04505171655077673
理想,103,92,26.42378768708454,986.0,836.0,36.97825835871607,-11.41808000325468,109.03989746649431,92.45167777078017,-0.33455975522146875,-0.0022066966607437676
月內,120,99,26.715757061316218,1144.0,920.0,36.90451359587518,-11.440493787127515,126.51282221264653,101.74108080038009,-0.33527710813569933,-0.07384946075965297
的女,165,123,26.860393702591704,1561.0,1192.0,36.167129219489716,-11.482443459471897,172.62807296673188,131.82105251527506,-0.33706856704007415,-0.5902772432212516
我的,169,118,27.220154489088568,1598.0,1178.0,36.36752399586723,-11.512128706964885,176.719833825008,130.27281867700842,-0.33723342194148365,-1.1562049536378811
大立光,234,112,29.00208646235301,2198.0,889.0,40.199127574047395,-11.282838331437828,243.0727126078646,98.3128487299325,-0.33863987932572975,1.9055302771698972
部表,202,153,26.373618494916713,1903.0,1456.0,35.31412924987375,-11.464250274583215,210.44921387296012,161.01631917973194,-0.3392230066210488,-0.3990985107516175
異常,111,66,28.670892501700912,1061.0,714.0,38.578441090804716,-11.592468187532178,117.33400731435137,78.95992575159933,-0.3419268597105991,-2.1271508792365528
中央氣象局,357,322,23.636634928579262,3330.0,2952.0,31.185512949166746,-11.426926607394973,368.258477244854,326.45616361165435,-0.3441965839353044,-0.060827138057819814
反對,441,294,25.0077414622795,4101.0,2662.0,32.86200183833879,-11.414493198835395,453.52192648082473,294.38560553327363,-0.34573552817585596,-0.0005050913648508429
南向政策,160,92,28.48923229337252,1516.0,712.0,40.329829460868496,-11.257529301581954,167.65160705801762,78.7387494889898,-0.34921878529947037,2.2334716547709377
但也,174,162,25.39774916365953,1646.0,1549.0,34.19449557033348,-11.469008472403504,182.02806412763653,171.3010153910747,-0.3540652588177433,-0.5050109429153803
改選,114,69,28.54982524574326,1090.0,629.0,39.72226238764412,-11.4212647193222,120.54106312218944,69.55993459069464,-0.3549454904433363,-0.004507289256397806
等相,110,107,25.871123554175643,1053.0,997.0,35.88440460325287,-11.44316190271895,116.4493022639133,110.25636691084668,-0.35718118428096973,-0.096175175685151
元年增,223,139,27.401974606750173,2099.0,1434.0,35.85065095110257,-11.544989055247893,232.12448760869327,158.58338029102723,-0.3586707933268435,-2.4183415873667866
小企業,133,81,28.372579563510303,1267.0,632.0,40.43122421098954,-11.265680206693437,140.11516236313213,69.89169898460892,-0.3613137550561969,1.7655079679163546
多雲時陰短暫,229,17,41.034450224697274,2155.0,317.0,49.05397233179694,-12.136928397040084,238.31742296175986,35.05643762360923,-0.3642804188188122,-9.300287244124265
